n,delta,p,corr_p
100000,50,0.00797,0.00797
100000,50,0.00762,0.00762
100000,50,0.00745,0.00745
100000,50,0.00799,0.00799
100000,50,0.00773,0.00773
100000,50,0.00766,0.00766
100000,50,0.00807,0.00807
100000,50,0.00752,0.00752
100000,50,0.00821,0.00821
100,55,0.05,0.05
100,55,0.04,0.04
100,55,0.03,0.03
100,55,0.03,0.03
100,55,0.04,0.04
100,55,0.08,0.08
100,55,0.01,0.01
100,55,0.02,0.02
100,55,0.01,0.01
100,55,0.03,0.03
1000,55,0.022,0.022
1000,55,0.025,0.025
1000,55,0.039,0.039
1000,55,0.029,0.029
1000,55,0.03,0.03
1000,55,0.032,0.032
1000,55,0.029,0.029
1000,55,0.032,0.032
1000,55,0.034,0.034
1000,55,0.03,0.03
10000,55,0.0301,0.0301
10000,55,0.027,0.027
10000,55,0.0282,0.0282
10000,55,0.0269,0.0269
10000,55,0.0262,0.0262
10000,55,0.0302,0.0302
10000,55,0.0309,0.0309
10000,55,0.0285,0.0285
10000,55,0.0252,0.0252
10000,55,0.0304,0.0304
100000,55,0.0289,0.0289
100000,55,0.02871,0.02871
100000,55,0.02813,0.02813
100000,55,0.02903,0.02903
100000,55,0.02853,0.02853
100000,55,0.02907,0.02907
100000,55,0.02916,0.02916
100000,55,0.02788,0.02788
100000,55,0.02882,0.02882
100000,55,0.02818,0.02818
100,60,0.0,0.01
100,60,0.0,0.01
100,60,0.01,0.01
100,60,0.0,0.01
100,60,0.0,0.01
100,60,0.0,0.01
100,60,0.0,0.01
100,60,0.0,0.01
100,60,0.0,0.01
100,60,0.0,0.01
1000,60,0.005,0.005
1000,60,0.006,0.006
1000,60,0.001,0.001
1000,60,0.003,0.003
1000,60,0.004,0.004
1000,60,0.003,0.003
