dist,p,t,p_t_2,p_t_1,p_f_2,p_f_1
0.41900000000000004,1e-05,8.609908431399896,1.274297871946973e-13,6.371489359734865e-14,1.9905313829545042e-21,9.952656914772521e-22
0.42000000000000004,1e-05,7.700025730697929,1.6575711158421067e-11,8.287855579210534e-12,1.5132615804445502e-13,7.566307902222751e-14
0.42100000000000004,1e-05,7.985454583332338,2.760744970326275e-12,1.3803724851631376e-12,8.990354715446689e-15,4.4951773577233446e-15
0.42200000000000004,1e-05,8.386237187689638,4.298298130139309e-13,2.1491490650696544e-13,2.1031974005987036e-18,1.0515987002993518e-18
0.42300000000000004,1e-05,6.085314150834101,2.2732265624472813e-08,1.1366132812236407e-08,4.146278244663436e-11,2.073139122331718e-11
0.42400000000000004,1e-05,9.495409446812346,1.519617579717069e-15,7.598087898585345e-16,4.2726352463102867e-16,2.1363176231551434e-16
0.42500000000000004,1e-05,6.319844539958268,7.780283997575448e-09,3.890141998787724e-09,3.945497365880503e-12,1.9727486829402514e-12
0.42600000000000005,1e-05,6.640154462432618,1.833029788410445e-09,9.165148942052225e-10,6.2617817986173645e-15,3.1308908993086823e-15
0.42700000000000005,1e-05,10.195709894999183,7.740500267536773e-17,3.8702501337683866e-17,4.394906409853921e-21,2.1974532049269603e-21
0.42800000000000005,1e-05,8.116660433400114,1.551288537165861e-12,7.756442685829305e-13,5.3686252684848505e-15,2.6843126342424253e-15
0.42900000000000005,1e-05,6.844847971662304,7.07592418348626e-10,3.53796209174313e-10,9.823745860799184e-12,4.911872930399592e-12
0.43000000000000005,1e-05,5.094198380791346,1.7108068764820536e-06,8.554034382410268e-07,1.899463915216868e-07,9.49731957608434e-08
0.43100000000000005,1e-05,7.1266469381782365,1.888191827157737e-10,9.440959135788686e-11,2.152414129321174e-15,1.076207064660587e-15
0.43200000000000005,1e-05,7.2846856499768755,8.236139632652525e-11,4.1180698163262624e-11,5.144305936045572e-10,2.572152968022786e-10
0.43300000000000005,1e-05,7.696442038452174,1.1483450750815767e-11,5.7417253754078834e-12,6.159730836649183e-16,3.0798654183245913e-16
0.43400000000000005,1e-05,6.759080418664796,1.0058466095783846e-09,5.029233047891923e-10,2.463738703958028e-08,1.231869351979014e-08
0.43500000000000005,1e-05,5.940254339809159,4.397076699503545e-08,2.1985383497517726e-08,5.364173815044328e-09,2.682086907522164e-09
0.43600000000000005,1e-05,5.884078013521506,5.738125603499559e-08,2.8690628017497794e-08,1.3911063002177556e-08,6.955531501088778e-09
0.43700000000000006,1e-05,7.749477176526519,1.1866534943818702e-11,5.933267471909351e-12,1.1634212540604244e-13,5.817106270302122e-14
0.43800000000000006,1e-05,7.234320085434855,1.1835606966700638e-10,5.917803483350319e-11,1.1912680844082942e-13,5.956340422041471e-14
0.43900000000000006,1e-05,6.883435210261922,5.639845402453423e-10,2.8199227012267115e-10,1.3479457854359073e-11,6.739728927179536e-12
0.44000000000000006,1e-05,6.214117709487277,1.295313214621314e-08,6.47656607310657e-09,8.940502176972669e-09,4.470251088486334e-09
0.44100000000000006,1e-05,6.713957615349211,1.4663802861067563e-09,7.331901430533781e-10,6.467334135895513e-12,3.2336670679477564e-12
0.44200000000000006,1e-05,6.274130564007228,9.725560565449701e-09,4.8627802827248504e-09,1.925658896783762e-10,9.62829448391881e-11
0.44300000000000006,1e-05,7.251129578447927,1.0336982573466764e-10,5.168491286733382e-11,7.367274964772064e-12,3.683637482386032e-12
0.44400000000000006,1e-05,6.66389631597131,1.5750888268041889e-09,7.875444134020944e-10,5.819509349485807e-11,2.9097546747429034e-11
0.44500000000000006,1e-05,5.096722156282411,1.6893887954589184e-06,8.446943977294592e-07,1.2334095279315409e-06,6.167047639657704e-07
