,index,ID,Date,HS time,phenotype,number,freq,total,suppressors
458,467,A-34-2b,7/22/17,15,DL,ssssssaaasaasaa,0.533333333,15,8
459,468,A-34-1a,7/22/17,15,DL,sssasas,0.714285714,7,5
460,469,A-34-1c,7/22/17,15,DL,assasaasaaasaa,0.357142857,14,5
461,470,PS7244,7/22/17,15,DL,aasaaaasaaaa,0.166666667,12,2
462,471,A-13-3b,7/22/17,15,DL,aaaasaaaaaaaaaaaa,0.058823529,17,1
463,472,A-13-3a,7/22/17,15,DL,saaassssassasss,0.666666667,15,10
464,473,A-13-3c,7/22/17,15,DL,AAAAAAAAAA,0,10,0
465,474,A-26-3a,7/22/17,15,DL,aaaaaaaaaa,0,10,0
466,475,A-26-3c,7/22/17,15,DL,aaaaaaaaaaa,0,11,0
467,476,A-26-3b,7/22/17,15,DL,AAAASAAAAAAAAASA,0.125,16,2
468,477,A-23-2b,7/22/17,15,DL,aaaaaa,0,6,0
469,478,A-23-2c,7/22/17,15,DL,aaaaaaaaaaaaaaaa1,0,16,0
470,479,A-23-2a,7/22/17,15,DL,aaaa,0,4,0
471,480,PS7244,7/22/17,30,DL,saaaassasssas,0.538461538,13,7
472,481,A32-1b,7/22/17,30,DL,aaaaaaaaaaaaaaa2,0,15,0
473,482,A-32-1a,7/22/17,30,DL,aaaaaaaaa,0,9,0
474,483,A-32-1c,7/22/17,30,DL,aaaaaaaaaaaa2,0,12,0
