n,dist,p
1000,0.5,0.105
1000,0.5,0.097
1000,0.5,0.106
1000,0.5,0.091
1000,0.5,0.12
1000,0.5,0.086
1000,0.5,0.108
1000,0.5,0.106
1000,0.5,0.104
1000,0.5,0.097
1000,0.5,0.089
1000,0.5,0.108
1000,0.5,0.09
1000,0.5,0.093
1000,0.5,0.096
1000,0.5,0.119
1000,0.5,0.104
1000,0.5,0.132
1000,0.5,0.1
1000,0.5,0.101
1000,0.5,0.103
1000,0.5,0.109
1000,0.5,0.084
1000,0.5,0.109
1000,0.5,0.113
1000,0.5,0.091
1000,0.5,0.096
1000,0.5,0.09
1000,0.5,0.107
1000,0.5,0.104
1000,0.5,0.115
1000,0.5,0.105
1000,0.5,0.112
1000,0.5,0.094
1000,0.5,0.097
1000,0.5,0.118
1000,0.5,0.097
1000,0.5,0.091
1000,0.5,0.109
1000,0.5,0.104
1000,0.5,0.104
1000,0.5,0.105
10000,0.5,0.1059
10000,0.5,0.0998
10000,0.5,0.1037
10000,0.5,0.1045
10000,0.5,0.1031
10000,0.5,0.1105
10000,0.5,0.0996
10000,0.5,0.1022
10000,0.5,0.1008
10000,0.5,0.1031
10000,0.5,0.1038
10000,0.5,0.0998
10000,0.5,0.1006
10000,0.5,0.1028
10000,0.5,0.0995
10000,0.5,0.1091
10000,0.5,0.098
10000,0.5,0.0968
10000,0.5,0.1056
10000,0.5,0.1056
10000,0.5,0.1082
10000,0.5,0.099
10000,0.5,0.0988
10000,0.5,0.1047
10000,0.5,0.1019
10000,0.5,0.108
10000,0.5,0.1088
10000,0.5,0.1009
10000,0.5,0.1033
10000,0.5,0.1085
10000,0.5,0.1086
10000,0.5,0.1031
10000,0.5,0.1011
10000,0.5,0.1
10000,0.5,0.1006
10000,0.5,0.1049
10000,0.5,0.1029
10000,0.5,0.0985
10000,0.5,0.1043
10000,0.5,0.1002
10000,0.5,0.1049
10000,0.5,0.1033
10000,0.5,0.103
10000,0.5,0.105
10000,0.5,0.106
10000,0.5,0.104
10000,0.5,0.1027
10000,0.5,0.1056
10000,0.5,0.1006
10000,0.5,0.1032
100000,0.5,0.1029
100000,0.5,0.10351
100000,0.5,0.10506
100000,0.5,0.10195
